congID;details;id;name;year
106;Texas Democrat, District 27;N00005998;Ortiz, Solomon P;2000
106;California Republican, District 3;N00007581;Ose, Doug;2000
106;New York Democrat, District 11;N00001074;Owens, Major R;2000
106;Ohio Republican, District 4;N00003736;Oxley, Michael G;2000
106;California Republican, District 48;N00007009;Packard, Ron;2000
106;New Jersey Democrat, District 6;N00000781;Pallone, Frank Jr;2000
106;New Jersey Democrat, District 8;N00000751;Pascrell, Bill Jr;2000
106;Arizona Democrat, District 2;N00006397;Pastor, Ed;2000
106;Texas Republican, District 14;N00005906;Paul, Ron;2000
106;New Jersey Democrat, District 10;N00000716;Payne, Donald M;2000
106;Indiana Republican, District 7;N00003910;Pease, Ed;2000
106;California Democrat, District 8;N00007360;Pelosi, Nancy;2000
106;Minnesota Democrat, District 7;N00004558;Peterson, Collin;2000
106;Pennsylvania Republican, District 5;N00001422;Peterson, John E;2000
106;Wisconsin Republican, District 6;N00004426;Petri, Tom;2000
106;Illinois Democrat, District 19;N00004991;Phelps, David;2000
106;Mississippi Republican, District 3;N00003341;Pickering, Charles (Chip) Jr;2000
106;Virginia Democrat, District 2;N00002140;Pickett, Owen B;2000
106;Pennsylvania Republican, District 16;N00001633;Pitts, Joe;2000
106;California Republican, District 11;N00007516;Pombo, Richard W;2000
106;North Dakota Democrat, District 1;N00008113;Pomeroy, Earl;2000
106;Illinois Republican, District 10;N00004700;Porter, John Edward;2000
106;Ohio Republican, District 2;N00003682;Portman, Rob;2000
106;North Carolina Democrat, District 4;N00002260;Price, David;2000
106;Ohio Republican, District 15;N00003504;Pryce, Deborah;2000
106;New York Republican, District 30;N00001290;Quinn, Jack;2000
106;California Republican, District 19;N00007507;Radanovich, George;2000
106;West Virginia Democrat, District 3;N00002198;Rahall, Nick;2000
106;Minnesota Republican, District 3;N00004484;Ramstad, Jim;2000
106;New York Democrat, District 15;N00000964;Rangel, Charles B;2000
106;Rhode Island Democrat, Senate;N00000362;Reed, Jack;2000
106;Ohio Republican, District 16;N00003651;Regula, Ralph;2000
106;Nevada Democrat, Senate;N00009922;Reid, Harry;2000
106;Texas Democrat, District 16;N00006067;Reyes, Silvestre;2000
106;New York Republican, District 27;N00001295;Reynolds, Tom;2000
106;Alabama Republican, District 3;N00003071;Riley, Bob;2000
106;Michigan Democrat, District 13;N00003962;Rivers, Lynn N;2000
106;Virginia Democrat, Senate;N00002057;Robb, Charles S;2000
106;Kansas Republican, Senate;N00005285;Roberts, Pat;2000
106;West Virginia Democrat, Senate;N00001685;Rockefeller, Jay;2000
106;Texas Democrat, District 28;N00009828;Rodriguez, Ciro D;2000
106;Indiana Democrat, District 3;N00003828;Roemer, Tim;2000
106;California Republican, District 27;N00006832;Rogan, James E;2000
106;Kentucky Republican, District 5;N00003473;Rogers, Hal;2000
106;California Republican, District 45;N00007151;Rohrabacher, Dana;2000
106;Puerto Rico Third Party, At Large;N00000140;Romero-Barcelo, Carlos;2000
