id;link;name;year
N00000515;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000515&year=2015;Peter Welch (D-Vt);2015
N00033782;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033782&year=2015;Heidi Heitkamp (D-ND);2015
N00033832;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033832&year=2015;Tom Rice (R-SC);2015
N00001148;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001148&year=2015;Carolyn McCarthy (D-NY);2015
N00009869;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009869&year=2015;Orrin G Hatch (R-Utah);2015
N00025726;https://www.opensecrets.org/personal-finances/net-worth?cid=N00025726&year=2015;Tom Cole (R-Okla);2015
N00034349;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034349&year=2015;Filemon Vela (D-Texas);2015
N00029026;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029026&year=2015;Niki Tsongas (D-Mass);2015
N00032457;https://www.opensecrets.org/personal-finances/net-worth?cid=N00032457&year=2015;Austin Scott (R-Ga);2015
N00033495;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033495&year=2015;Susan Brooks (R-Ind);2015
N00006897;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006897&year=2015;Brad Sherman (D-Calif);2015
N00026460;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026460&year=2015;Michael McCaul (R-Texas);2015
N00033904;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033904&year=2015;Joyce Beatty (D-Ohio);2015
N00031103;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031103&year=2015;Bob Dold (R-Ill);2015
N00005195;https://www.opensecrets.org/personal-finances/net-worth?cid=N00005195&year=2015;Roy Blunt (R-Mo);2015
N00033474;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033474&year=2015;Suzanne Bonamici (D-Ore);2015
N00029277;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029277&year=2015;Gary Peters (D-Mich);2015
N00003467;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003467&year=2015;Ed Whitfield (R-Ky);2015
N00027514;https://www.opensecrets.org/personal-finances/net-worth?cid=N00027514&year=2015;Kathy Castor (D-Fla);2015
N00027605;https://www.opensecrets.org/personal-finances/net-worth?cid=N00027605&year=2015;Jon Tester (D-Mont);2015
N00008274;https://www.opensecrets.org/personal-finances/net-worth?cid=N00008274&year=2015;Loretta Sanchez (D-Calif);2015
N00033085;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033085&year=2015;Ted Cruz (R-Texas);2015
N00000491;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000491&year=2015;Susan Collins (R-Maine);2015
N00009926;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009926&year=2015;Bill Nelson (D-Fla);2015
N00013799;https://www.opensecrets.org/personal-finances/net-worth?cid=N00013799&year=2015;Randy Forbes (R-Va);2015
N00029303;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029303&year=2015;Jeff Merkley (D-Ore);2015
N00005818;https://www.opensecrets.org/personal-finances/net-worth?cid=N00005818&year=2015;Sheila Jackson Lee (D-Texas);2015
N00033987;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033987&year=2015;Doug LaMalfa (R-Calif);2015
N00013817;https://www.opensecrets.org/personal-finances/net-worth?cid=N00013817&year=2015;Chellie Pingree (D-Maine);2015
N00000898;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000898&year=2015;Leonard Lance (R-NJ);2015
N00009771;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009771&year=2015;Shelley Moore Capito (R-WVa);2015
N00009154;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009154&year=2015;Bob Goodlatte (R-Va);2015
N00003675;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003675&year=2015;John Boehner (R-Ohio);2015
N00033443;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033443&year=2015;Deb Fischer (R-Neb);2015
N00003473;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003473&year=2015;Hal Rogers (R-Ky);2015
N00001758;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001758&year=2015;Chuck Grassley (R-Iowa);2015
N00013873;https://www.opensecrets.org/personal-finances/net-worth?cid=N00013873&year=2015;John Boozman (R-Ark);2015
N00035278;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035278&year=2015;Katherine Clark (D-Mass);2015
N00003950;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003950&year=2015;Sander Levin (D-Mich);2015
N00000179;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000179&year=2015;James P McGovern (D-Mass);2015
N00007836;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007836&year=2015;Maria Cantwell (D-Wash);2015
N00027239;https://www.opensecrets.org/personal-finances/net-worth?cid=N00027239&year=2015;Daniel Lipinski (D-Ill);2015
N00030600;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030600&year=2015;Judy Chu (D-Calif);2015
N00035007;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035007&year=2015;David P Joyce (R-Ohio);2015
N00000781;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000781&year=2015;Frank Pallone Jr. (D-NJ);2015
N00025175;https://www.opensecrets.org/personal-finances/net-worth?cid=N00025175&year=2015;Michael R Turner (R-Ohio);2015
N00002260;https://www.opensecrets.org/personal-finances/net-worth?cid=N00002260&year=2015;David Price (D-NC);2015
